Car Name,Car Price,Car Link
2010 Toyota Corolla Modle s,"$9,900 ",https://newyork.craigslist.org/search/electric-cars
2010 Toyota Corolla le- Low miles-43k,"$8,900 ",https://newyork.craigslist.org/stn/ctd/d/staten-island-2021-toyota-corolla-le/7653158487.html
2006 Toyota Corolla LE,"$4,800 ",https://newyork.craigslist.org/fct/cto/d/danbury-2012-toyota-scion-xd-auto/7653073986.html
1996 Toyota Corolla,"$1,500 ",https://newyork.craigslist.org/lgi/ctd/d/valley-stream-2022-toyota-corolla-le/7653060340.html
2009 Toyota Corolla LE,"$6,500 ",https://newyork.craigslist.org/lgi/cto/d/westbury-2010-toyota-corolla-le-low/7652857220.html
2001 TOYOTA COROLLA 133K MILES  CLEAN TITLE,"$1,999 ",https://newyork.craigslist.org/que/ctd/d/north-babylon-2007-toyota-corolla-4dr/7652832053.html
2007 Toyota Corolla Manual . *New Clutch* *New Belt* 110k miles,"$5,400 ",https://newyork.craigslist.org/brk/cto/d/brooklyn-1996-toyota-corolla/7652771134.html
2005 Toyota Corolla CE,"$3,900 ",https://newyork.craigslist.org/brk/cto/d/brooklyn-2009-toyota-corolla-le/7652552506.html
2009 Toyota Corolla LE,"$6,500 ",https://newyork.craigslist.org/brk/cto/d/brooklyn-2001-toyota-corolla-133k-miles/7652519028.html
2009 Toyota Corolla,"$9,500 ",https://newyork.craigslist.org/brk/cto/d/brooklyn-2007-toyota-corolla-manual-new/7652270650.html
2005 Toyota Corolla LE ***Guaranteed Financing!!!,"$2,999 ",https://newyork.craigslist.org/que/cto/d/flushing-2012-toyota-corolla-le/7650299294.html
*ONE OWNER* - 2009 Toyota Corolla LE,"$9,527 ",https://newyork.craigslist.org/brx/ctd/d/bronx-2020-toyota-corolla-le/7650095166.html
2014 TOYOTA COROLLA,"$7,900 ",https://newyork.craigslist.org/fct/cto/d/greenwich-2013-corolla-9800-firm/7649975351.html
"2001 Toyota Corolla Runs and Drives Great, clean inside and out!","$4,495 ",https://newyork.craigslist.org/brk/ctd/d/brooklyn-2017-toyota-corolla-cvt-natl/7649760190.html
2010 Toyota corolla,"$5,000 ",https://newyork.craigslist.org/brk/ctd/d/brooklyn-2014-toyota-corolla/7649616986.html
2010 Toyota Corolla not 2011 2012,"$7,900 ",https://newyork.craigslist.org/que/ctd/d/floral-park-2010-toyota-corolla/7649231013.html
2009 Toyota Corolla 4dr Sdn Auto LE (Natl),"$7,790 ",https://newyork.craigslist.org/lgi/cto/d/franklin-square-2010-toyota-corolla-not/7649122844.html
2017 Toyota Corolla LE CVT,"$9,599 ",https://newyork.craigslist.org/brk/cto/d/brooklyn-2003-toyata-corolla/7648696389.html
2004 Toyota Corolla 70K Original Miles! Clean Title. Iphone/mp3 Music,"$7,495 ",https://newyork.craigslist.org/que/ctd/d/flushing-2012-toyota-corolla/7648666814.html
2006 Toyota Corolla LE CLEAN CARFAX No Accidents Iphone/mp3 compatible,"$7,495 ",https://newyork.craigslist.org/brk/cto/d/elmont-junk-cars-wanted-cash-for-cars/7648333179.html
2009 Toyota Corolla LE,"$6,500 ",https://newyork.craigslist.org/brk/ctd/d/plainview-2009-toyota-corolla-4dr-sdn/7648187945.html
2009 Toyota Corolla xle,"$9,900 ",https://newyork.craigslist.org/stn/ctd/d/elizabeth-2006-toyota-corolla-le-clean/7647660216.html
2009 Toyota Corolla,"$9,000 ",https://newyork.craigslist.org/brk/cto/d/brooklyn-2009-toyota-corolla-le/7647655670.html
2013 TOYOTA COROLLA,"$7,995 ",https://newyork.craigslist.org/que/ctd/d/jamaica-2009-toyota-corolla-xle/7647279953.html
2011 Toyota Corolla S,"$9,000 ",https://newyork.craigslist.org/que/cto/d/howard-beach-we-buy-cars-ny-we-will/7647020840.html
"2009 TOYOTA COROLLA LE CLEAN CARFAX, GOOD SERVICE","$8,995 ",https://newyork.craigslist.org/fct/cto/d/greenwich-2013-corolla-9800-firm/7646569545.html
"2006 Toyota Corolla 67K Original Miles, Clean Carfax No accidents","$7,995 ",https://newyork.craigslist.org/que/cto/d/elmhurst-2011-toyota-corolla/7646512488.html
1998 Toyota Corolla LE,"$1,600 ",https://newyork.craigslist.org/lgi/cto/d/baldwin-2021-toyota-corolla-le-with/7646013846.html
2003 Toyota Corolla S Need Sold Today!!,"$3,700 ",https://newyork.craigslist.org/brk/ctd/d/cambria-heights-2014-toyota-corolla/7645602385.html
2006 TOYOTA COROLLA EXCELLENT CONDITION VERY LOW MILES,"$9,000 ",https://newyork.craigslist.org/stn/ctd/d/elizabeth-2006-toyota-corolla-67k/7645542736.html
2013 TOYOTA COROLLA LE,"$7,500 ",https://newyork.craigslist.org/brk/ctd/d/brooklyn-2003-toyota-highlander-limited/7653278236.html
Toyota Corolla Clean Title,"$8,900 ",https://newyork.craigslist.org/brk/ctd/d/ridgewood-2011-toyota-camry-xle-v6-4dr/7653192239.html
"2013 Toyota Corolla le , 92,000 miles , clean title,1owner,only  $7499","$7,499 ",https://newyork.craigslist.org/que/ctd/d/woodside-2014-toyota-prius-hybrid-back/7652022119.html
2009 Toyota Corolla LE,"$8,750 ",https://newyork.craigslist.org/que/cto/d/queens-village-2023-toyota-corolla/7644296733.html
Toyota Corolla 2006. Needs some TLC,"$3,500 ",https://newyork.craigslist.org/brk/cto/d/brooklyn-2016-toyota-camry-hybrid-mint/7650911532.html
2017 Toyota Corolla LE for sale,"$9,450 ",https://newyork.craigslist.org/brk/ctd/d/ridgewood-2007-toyota-prius-base-4dr/7650663460.html
2005 Toyota Corolla,"$2,000 ",https://newyork.craigslist.org/que/ctd/d/woodside-2014-toyota-prius-hybrid-back/7649446990.html
2010 Toyota Corolla,"$7,000 ",https://newyork.craigslist.org/brx/ctd/d/bronx-2005-toyota-corolla/7643155781.html
2004 Toyota Corolla LE 4dr Sedan,"$4,200 ",https://newyork.craigslist.org/lgi/ctd/d/ridgewood-2016-jeep-compass-high/7653240629.html
2015 Toyota Corolla LE V4 runs & drives new,"$6,200 ",https://newyork.craigslist.org/brk/ctd/d/ridgewood-2012-honda-civic-ex-navi-4dr/7653226380.html
1999 Toyota Corolla LE,"$2,050 ",https://newyork.craigslist.org/lgi/ctd/d/ridgewood-2012-honda-odyssey-ex-4dr/7653181011.html
,,
